IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
67.226.221.106,80,443,true,SJC,North America,US,San Jose,438,7.95
44.222.112.215,443,443,true,IAD,North America,US,Ashburn,337,7.95
3.18.162.191,2096,443,true,ORD,North America,US,Chicago,244,7.95
54.187.109.162,443,443,true,SEA,North America,US,Seattle,329,7.95
3.17.156.243,443,443,true,YYZ,North America,CA,Toronto,389,7.95
44.217.235.114,2053,443,true,IAD,North America,US,Ashburn,336,7.95
18.117.182.238,443,443,true,YYZ,North America,CA,Toronto,237,7.94
3.140.193.251,443,443,true,YYZ,North America,CA,Toronto,278,7.94
34.216.62.20,443,443,true,PDX,North America,US,Portland,291,7.94
35.94.56.250,443,443,true,PDX,North America,US,Portland,253,7.94
35.94.23.221,443,443,true,PDX,North America,US,Portland,270,7.94
67.226.221.175,80,443,true,SJC,North America,US,San Jose,412,7.93
35.87.73.46,443,443,true,PDX,North America,US,Portland,331,7.93
3.136.37.200,443,443,true,YYZ,North America,CA,Toronto,362,7.93
3.85.218.113,443,443,true,IAD,North America,US,Ashburn,246,7.93
3.144.185.161,443,443,true,YYZ,North America,CA,Toronto,394,7.92
44.243.107.155,443,443,true,SEA,North America,US,Seattle,363,7.92
18.236.152.142,443,443,true,PDX,North America,US,Portland,340,7.92
35.91.206.234,443,443,true,PDX,North America,US,Portland,305,7.92
34.223.229.89,443,443,true,PDX,North America,US,Portland,333,7.91
3.143.244.172,8443,443,true,YYZ,North America,CA,Toronto,382,7.91
35.86.110.84,443,443,true,PDX,North America,US,Portland,277,7.91
44.197.209.32,443,443,true,IAD,North America,US,Ashburn,307,7.90
52.32.90.142,80,443,true,SEA,North America,US,Seattle,305,7.90
204.110.220.142,80,443,true,SJC,North America,US,San Jose,213,7.90
35.90.13.148,443,443,true,PDX,North America,US,Portland,255,7.90
44.243.244.183,443,443,true,PDX,North America,US,Portland,436,7.90
34.212.93.49,443,443,true,PDX,North America,US,Portland,331,7.90
54.202.56.174,443,443,true,SEA,North America,US,Seattle,345,7.90
34.209.252.189,443,443,true,PDX,North America,US,Portland,216,7.90
44.243.34.221,443,443,true,PDX,North America,US,Portland,297,7.90
3.145.26.231,443,443,true,YYZ,North America,CA,Toronto,257,7.90
3.139.107.127,443,443,true,YYZ,North America,CA,Toronto,292,7.89
67.226.221.158,80,443,true,SJC,North America,US,San Jose,464,7.89
35.93.135.252,443,443,true,PDX,North America,US,Portland,298,7.89
34.222.62.134,443,443,true,PDX,North America,US,Portland,328,7.89
54.202.86.81,443,443,true,SEA,North America,US,Seattle,311,7.89
51.20.50.91,8880,443,true,ARN,Europe,SE,Stockholm,239,7.89
35.94.40.178,443,443,true,PDX,North America,US,Portland,282,7.89
204.110.220.164,80,443,true,SJC,North America,US,San Jose,215,7.89
35.86.123.100,443,443,true,PDX,North America,US,Portland,263,7.88
3.133.156.22,443,443,true,YYZ,North America,CA,Toronto,377,7.88
67.226.221.93,80,443,true,SJC,North America,US,San Jose,418,7.88
18.216.107.236,443,443,true,YYZ,North America,CA,Toronto,268,7.88
